00000000280219        0000007140000000000000000000000    00020210115R
00000000295552        0000007140000000000000000000000    00020210115R
00000000299876        0000007140000000000000000000000    00020210115R
02012021308002240946  0000007140000012498000000124980010 00020210115A
03012021308622263474  0000007140000025999000000259990010 00020210115A
03012021309084289468  0000007140000008999000000089990010 00020210115A
04012021310373311431  0000007140000003289100000032891074 00320210115A
04012021310600320085  0000007140000007519100000075191074 00320210115A
04012021310953336519  0000007140000002349100000023491074 00320210115A
04012021311376355108  0000007140000022559100000225591074 00320210115A
04012021311478359497  0000007140000004229100000042291010 00020210115A
04012021311486359694  0000007140000044978100000449781012 00620210115A
04012021311715369524  0000007140000027118100000271181074 00320210115A
04012021312254392683  0000007140000027118100000271181010 00020210115A
04012021313147415939  0000007140000005639100000056391010 00020210115A
04012021313268417485  0000007140000003289100000032891074 00320210115A
04012021313300418048  0000007140000038539100000385391074 00320210115A
04012021313400419110  0000007140000016919200000169192010 00020210115A
04012021313528420595  0000007140000006105300000000000010 00020210115D
04012021313611421484  0000007140000005639100000056391074 00320210115A
04012021313708422614  0000007140000021619100000216191012 00620210115A
04012021313850424150  0000007140000005559100000055591010 00020210115A
05012021314424431229  0000007140000002499000000024990074 00320210115A
05012021314577445738  0000007140000002897000000028970074 00320210115A
06012021316330581216  0000007140000001398000000013980074 00320210115A
06012021316383584660  0000007140000010999000000109990074 00320210115A
06012021316807611787  0000007140000002198100000021981010 00020210115A
06012021316983616233  0000007140000040598000000405980074 00320210115A
07012021317499626310  0000007140000017999000000179990074 00320210115A
07012021318489001606  0000007140000050498000000504980012 01520210115A
07012021318603005092  0000007140000005198000000051980012 00620210115A
08012021319002021389  0000007140000005999000000059990074 00320210115A
08012021319136037178  0000007140000011911000000119080010 00020210115A
08012021319307053672  0000007140000007060000000069700010 00020210115A
08012021319394062502  0000007140000003542800000035388010 00020210115A
08012021319583079522  0000007140000013999000000139990012 00620210115A
08012021319686083438  0000007140000007998000000079980010 00020210115A
